Product Name,Sex,Category,Discounted Price,Original Price,Core Colors,Limited Edition Colors,Discounted Limited Edition Colors,Sizes,Discounted Limited Edition Colors Price
FIGS Ankle Socks,Women,Accessories,$9.00,12.0,"Black, Navy, White, Grey","Helicopter/Black, Pulse Stripe/Dusty Blue, Tennis Ball/Winning Blue",,"S, M, L",7.800000000000001
High Pile Earwarmer,Women,Accessories,$18.00,24.0,"Black, Espresso, Bone",,,O/S,15.600000000000001
High Pile Slippers,Women,Accessories,$36.00,48.0,"Black, Bone/Espresso",,,"XS, S, M, L",31.200000000000003
Modern Scrub Cap with Buttonholes,Women,Accessories,$13.50,18.0,"Black, Navy, Graphite, Ceil Blue, Burgundy",Auburn,,O/S,11.700000000000001
FIGS PIPS 2-Pack™,Women,Accessories,$6.00,8.0,"Coffee Cup/Desert Sage, Cross/Extreme Blue, FIGS Logo/Graphite, FIGS Logo/Rainbow, FIGS/Extreme Blue, I Got This/Shocking Pink, Llama/Black, Llama/Orange, Peace Bone/Black, Peace Sign/Cream, Peace Sign/Mauve, Peace Sign/Multicolor, Pill/Amethyst, Stethoscope/Navy, Ambulance/Coral",,,O/S,5.2
Modern Scrub Cap,Women,Accessories,$13.50,18.0,"Black, Navy, Burgundy",,,O/S,11.700000000000001
Indestructible Belt Bag,Women,Accessories,$43.50,58.0,Paramedic Red,,,O/S,37.7
FIGS Lanyard,Women,Accessories,$12.00,16.0,"Black, Grey",Optic White,"British Racing Green, Sea Mist",O/S,10.4
FIGS Logo Beanie,Women,Accessories,$21.00,28.0,Espresso,,,O/S,18.2
FIGS | V Coterie Awesome Humans Enamel Pin,Women,Accessories,$8.25,11.0,Black,,,O/S,7.15
Modern Expandable Scrub Cap,Women,Accessories,$13.50,18.0,"Black, Navy, Burgundy",,,O/S,11.700000000000001
Elastic Headband with Buttonholes,Women,Accessories,$9.00,12.0,"Black, Mauve","Black/Grey, Citrine, Match Point Green, Neon Yellow",Limeade,O/S,7.800000000000001
Color Block Earwarmer,Women,Accessories,$18.00,24.0,Shocking Pink/Evergreen,,,O/S,15.600000000000001
Color Block Knit Fingerless Gloves,Women,Accessories,$21.00,28.0,Shocking Pink/Evergreen,,,O/S,18.2
Color Block Knit Scarf,Women,Accessories,$43.50,58.0,Shocking Pink/Evergreen,,,O/S,37.7
High Pile Belt Bag,Women,Accessories,$43.50,58.0,"Black, Espresso, Bone",,,O/S,37.7
FIGS Compression Socks,Women,Accessories,$21.00,28.0,"Black, Navy, White, Grey","Double Stripe/Navy, FIGS Ring/Match Point Green, Fair Isle/Evergreen, Pride Awesome Humans/White, Stripe/Shocking Pink, Striped/Winning Blue, Tennis Ball/Winning Blue, Tennis Stripe/White, Track/Winning Red","Awesome Nurse/Limeade, Extreme/British Racing Green, Nurse/Limeade","S, M, L",18.2
Cozy Socks,Women,Accessories,$18.00,24.0,"Evergreen, Shocking Pink, Cream",,,O/S,15.600000000000001
Fair Isle Knit Beanie,Women,Accessories,$25.50,34.0,Navy,,,O/S,22.1
Fair Isle Knit Fingerless Gloves,Women,Accessories,$21.00,28.0,Navy,,,O/S,18.2
Holiday Stocking,Women,Accessories,$21.00,28.0,Bone,,,O/S,18.2
FIGS | V Coterie Wash Your Hands Enamel Pin,Women,Accessories,$8.25,11.0,Shocking Pink,,,O/S,7.15
FIGS Logo Pen 5-Pack,Women,Accessories,$7.50,10.0,Multicolor,,,O/S,6.5
Fair Isle Knit Earwarmer,Women,Accessories,$18.00,24.0,"Navy, Shocking Pink",,,O/S,15.600000000000001
FIGS Ankle Socks,Women,Accessories,$9.00,12.0,"Black, Navy, White, Grey","Helicopter/Black, Pulse Stripe/Dusty Blue, Tennis Ball/Winning Blue",,"S, M, L",7.800000000000001
High Pile Earwarmer,Women,Accessories,$18.00,24.0,"Black, Espresso, Bone",,,O/S,15.600000000000001
High Pile Slippers,Women,Accessories,$36.00,48.0,"Black, Bone/Espresso",,,"XS, S, M, L",31.200000000000003
Modern Scrub Cap with Buttonholes,Women,Accessories,$13.50,18.0,"Black, Navy, Graphite, Ceil Blue, Burgundy",Auburn,,O/S,11.700000000000001
FIGS PIPS 2-Pack™,Women,Accessories,$6.00,8.0,"Coffee Cup/Desert Sage, Cross/Extreme Blue, FIGS Logo/Graphite, FIGS Logo/Rainbow, FIGS/Extreme Blue, I Got This/Shocking Pink, Llama/Black, Llama/Orange, Peace Bone/Black, Peace Sign/Cream, Peace Sign/Mauve, Peace Sign/Multicolor, Pill/Amethyst, Stethoscope/Navy, Ambulance/Coral",,,O/S,5.2
Modern Scrub Cap,Women,Accessories,$13.50,18.0,"Black, Navy, Burgundy",,,O/S,11.700000000000001
Indestructible Belt Bag,Women,Accessories,$43.50,58.0,Paramedic Red,,,O/S,37.7
FIGS Lanyard,Women,Accessories,$12.00,16.0,"Black, Grey",Optic White,"British Racing Green, Sea Mist",O/S,10.4
FIGS Logo Beanie,Women,Accessories,$21.00,28.0,Espresso,,,O/S,18.2
FIGS | V Coterie Awesome Humans Enamel Pin,Women,Accessories,$8.25,11.0,Black,,,O/S,7.15
Modern Expandable Scrub Cap,Women,Accessories,$13.50,18.0,"Black, Navy, Burgundy",,,O/S,11.700000000000001
Elastic Headband with Buttonholes,Women,Accessories,$9.00,12.0,"Black, Mauve","Black/Grey, Citrine, Match Point Green, Neon Yellow",Limeade,O/S,7.800000000000001
Harlem Long Lab Coat,Men,Lab Coats,$88.50,118.0,White,,,"S, M, L, XL, 2XL",76.7
Harlem Slim Short Lab Coat,Men,Lab Coats,$73.50,98.0,White,,,"S, M, L, XL, 2XL",63.7
Harlem Short Lab Coat,Men,Lab Coats,$73.50,98.0,White,,,"S, M, L, XL, 2XL",63.7
FIGSPRO High Collar Lab Coat™,Men,Lab Coats,$102.70,158.0,"White, Willow",,,"XS, S, M, L, XL, 2XL",102.7
Harlem Slim Long Lab Coat,Men,Lab Coats,$88.50,118.0,White,,,"S, M, L, XL, 2XL",76.7
Harlem Long Lab Coat,Men,Lab Coats,$88.50,118.0,White,,,"S, M, L, XL, 2XL",76.7
Harlem Slim Short Lab Coat,Men,Lab Coats,$73.50,98.0,White,,,"S, M, L, XL, 2XL",63.7
Harlem Short Lab Coat,Men,Lab Coats,$73.50,98.0,White,,,"S, M, L, XL, 2XL",63.7
FIGSPRO High Collar Lab Coat™,Men,Lab Coats,$102.70,158.0,"White, Willow",,,"XS, S, M, L, XL, 2XL",102.7
Harlem Slim Long Lab Coat,Men,Lab Coats,$88.50,118.0,White,,,"S, M, L, XL, 2XL",76.7
Bellevue Slim Long Lab Coat,Women,Lab Coats,$88.50,118.0,White,,,"XS, S, M, L, XL, 2XL",76.7
Bellevue Long Lab Coat,Women,Lab Coats,$88.50,118.0,White,,,"XS, S, M, L, XL, 2XL",76.7
Bellevue Short Lab Coat,Women,Lab Coats,$73.50,98.0,White,,,"XS, S, M, L, XL, 2XL",63.7
FIGSPRO High Collar Lab Coat™,Women,Lab Coats,$118.50,158.0,"Bonsai, White, Twill",,,"XXS, XS, S, M, L, XL, 2XL",102.7
Double Breasted Lab Coat,Women,Lab Coats,$96.00,128.0,Optic White,,,"XS, S, M, L, XL",83.2
Bellevue Slim Short Lab Coat,Women,Lab Coats,$73.50,98.0,White,,,"XS, S, M, L, XL, 2XL",63.7
Bellevue Slim Long Lab Coat,Women,Lab Coats,$88.50,118.0,White,,,"XS, S, M, L, XL, 2XL",76.7
Bellevue Long Lab Coat,Women,Lab Coats,$88.50,118.0,White,,,"XS, S, M, L, XL, 2XL",76.7
Bellevue Short Lab Coat,Women,Lab Coats,$73.50,98.0,White,,,"XS, S, M, L, XL, 2XL",63.7
FIGSPRO High Collar Lab Coat™,Women,Lab Coats,$118.50,158.0,"Bonsai, White, Twill",,,"XXS, XS, S, M, L, XL, 2XL",102.7
Double Breasted Lab Coat,Women,Lab Coats,$96.00,128.0,Optic White,,,"XS, S, M, L, XL",83.2
Bellevue Slim Short Lab Coat,Women,Lab Coats,$73.50,98.0,White,,,"XS, S, M, L, XL, 2XL",63.7
Cobaki Scrub Jacket,Men,Jackets and Vests,$73.50,98.0,"Black, Navy, Burgundy, Charcoal, Moss","Dirty Chai, Emergency Yellow, Evergreen, Clay","Earth, Auburn, British Racing Green, Sea Mist, Fiery Coral, Limeade","XS, S, M, L, XL, 2XL",63.7
ContourKnit Scrub Jacket™,Men,Jackets and Vests,$73.50,98.0,"Black, Navy, Graphite, Charcoal",Bonsai,Earth,"XS, S, M, L, XL, 2XL",63.7
